ruta;bloque;extension;bytes;lineas;sintaxis_ok;imports_relativos_no_resueltos;marcador_temporal_todo;usa_any
src/domain/knowledge/KnowledgeRuleProvider.ts;Motores jurídicos, reglas y CPV;.ts;2353;135;SI;0;NO;NO
src/domain/knowledge/QuestionFlowEngine.ts;Motores jurídicos, reglas y CPV;.ts;3670;211;SI;0;NO;NO
src/domain/knowledge/RuleEngine.ts;Motores jurídicos, reglas y CPV;.ts;2920;188;SI;0;NO;NO
src/domain/knowledge/catalogs/CPVCatalog.ts;Motores jurídicos, reglas y CPV;.ts;2795;144;SI;0;SI;NO
src/domain/knowledge/catalogs/CoreKnowledgeConcepts.ts;Motores jurídicos, reglas y CPV;.ts;20159;1185;NO;0;SI;NO
src/domain/knowledge/catalogs/KnowledgePackCatalog.ts;Motores jurídicos, reglas y CPV;.ts;2540;126;SI;0;SI;NO
src/domain/knowledge/catalogs/ProcedureCatalog.ts;Motores jurídicos, reglas y CPV;.ts;2499;124;SI;0;SI;NO
src/domain/knowledge/models/KnowledgeConcept.ts;Motores jurídicos, reglas y CPV;.ts;2145;139;SI;0;SI;NO
src/domain/knowledge/models/KnowledgeDecision.ts;Motores jurídicos, reglas y CPV;.ts;2219;124;SI;0;SI;NO
src/domain/knowledge/models/KnowledgePack.ts;Motores jurídicos, reglas y CPV;.ts;3905;267;SI;0;SI;NO
src/domain/knowledge/packs/KP0001_ProcedimientoAdjudicacion.ts;Motores jurídicos, reglas y CPV;.ts;7243;399;SI;0;SI;NO
src/domain/knowledge/rules/CPVRules.ts;Motores jurídicos, reglas y CPV;.ts;4955;276;SI;0;NO;SI
src/domain/knowledge/rules/EstimatedValueRules.ts;Motores jurídicos, reglas y CPV;.ts;4010;186;SI;0;NO;SI
src/domain/knowledge/rules/NeedRules.ts;Motores jurídicos, reglas y CPV;.ts;5264;278;SI;0;NO;SI
src/domain/knowledge/rules/ProcedureRules.ts;Motores jurídicos, reglas y CPV;.ts;5227;263;SI;0;NO;SI
src/domain/legal/LegalReasoner.ts;Motores jurídicos, reglas y CPV;.ts;123662;9451;NO;1;SI;NO
src/domain/legal/LegalReference.ts;Motores jurídicos, reglas y CPV;.ts;1714;129;SI;0;NO;NO
src/domain/legal/LegalReferenceEngine.ts;Motores jurídicos, reglas y CPV;.ts;14322;874;NO;0;SI;NO
src/domain/legal/LegalReferenceRegistry.ts;Motores jurídicos, reglas y CPV;.ts;5134;297;SI;0;SI;NO
src/domain/legal/core/Conflict.ts;Motores jurídicos, reglas y CPV;.ts;1105;63;SI;0;NO;NO
src/domain/legal/core/ConflictResolver.ts;Motores jurídicos, reglas y CPV;.ts;2853;145;SI;0;NO;NO
src/domain/legal/core/ConflictSeverity.ts;Motores jurídicos, reglas y CPV;.ts;1031;49;SI;0;NO;NO
src/domain/legal/core/ConflictType.ts;Motores jurídicos, reglas y CPV;.ts;1433;64;SI;0;NO;NO
src/domain/legal/core/DecisionContext.ts;Motores jurídicos, reglas y CPV;.ts;2647;126;SI;0;SI;NO
src/domain/legal/core/DecisionEngine.ts;Motores jurídicos, reglas y CPV;.ts;3765;209;SI;0;SI;NO
src/domain/legal/core/DecisionResult.ts;Motores jurídicos, reglas y CPV;.ts;3681;223;SI;0;NO;NO
src/domain/legal/core/InferenceEngine.ts;Motores jurídicos, reglas y CPV;.ts;3935;222;SI;0;NO;NO
src/domain/legal/core/InferenceResult.ts;Motores jurídicos, reglas y CPV;.ts;1354;73;SI;0;NO;NO
src/domain/legal/core/InferenceRule.ts;Motores jurídicos, reglas y CPV;.ts;1936;113;SI;0;SI;NO
src/domain/legal/core/InferenceTrace.ts;Motores jurídicos, reglas y CPV;.ts;1357;80;SI;0;NO;NO
src/domain/legal/core/LegalJustificationEngine.ts;Motores jurídicos, reglas y CPV;.ts;1486;85;SI;0;NO;NO
src/domain/legal/core/LegalReasoner.ts;Motores jurídicos, reglas y CPV;.ts;2336;109;SI;0;NO;NO
